MTurk_ID	Role	Topic 1	Position 1	Topic 2	Position 2	Topic 3	Position 3	Username 1	Username 2	Username 3	Username 4	Username 5	Username 6	Username 7	Username 8	Strategy
AB09F0Q4T10TE	observer							Allison_9211								
ATAHQP6QL09TX	participant	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	Cody_6953								
AAM0Q3DCSSQ0A	sockpuppet	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	Katie_3998	Luke_7610	Tanner_2028	Logan_3103					UNRESTRICTED
A3MGY1JCJPJGGM	observer							Amy_3775								
AYTH0E5PUXWX8	observer							Bradley_629								
AAKBYJD64R6K	sockpuppet	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Amy_4228	Cody_8289	Jamal_3819	Lucas_3655	Dustin_5178				UNRESTRICTED
AE1YA7Q3UKPRI	observer							Jamal_263								
A1AIMKA54UBYIQ	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	Asia_4906								
A2OI9NUZU8GT2E	participant	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	Jenna_7349								
A12LI6GAHU6S2H	observer							Jenna_3932								
A3PRFA3M7OSCT5	participant	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	Jack_5128								
A3L5XFNSOY6QET	observer							Raven_1194								
A3MZD8MCJ72PT	participant	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Jake_4450								
A10IUXCZBNYUXC	participant	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	Jacob_1907								
A2CYT1T5918U1V	sockpuppet	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Wyatt_3063	Willie_9514	Scott_5414	Heather_214	Jenna_1346				OVERT
A1P0MXIDPXPW07	sockpuppet	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	Emily_1919	Holly_3158	Jack_8264	Jenna_2324	Carly_5327				COVERT
A314KKX6ONDO9O	participant	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	Bradley_9823								
A30UE6DWFNUCWX	observer							Hannah_5406								
A1YY9C43J4LJTF	participant	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Raven_6918								
A98E8M4QLI9RS	participant	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	Carly_7695								
A1YZXZITMRNKUK	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Willie_8932								
A1NGXQMOBCXDC3	sockpuppet	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	Willie_9454	Asia_9450	Cody_2039	Bradley_7762	Scott_3855	Malik_3401			OVERT
A1B14CS9DW7008	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	Luke_6864								
A3FLM7IX6UGVPX	observer							Claire_7568								
A2VGFS03KCCR1Q	observer							Diamond_1715								
AIBGWUUPC4SQ3	sockpuppet	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	Hannah_8264	Katie_5331	Carly_6944	Allison_9123	Amy_1299	Katherine_9123			OVERT
A2Q45U44DLMPI4	participant	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Heather_6658								
A11S8IAAVDXCUS	sockpuppet	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	Dustin_3264	Katie_9575	Jacob_1122	Lucas_9194	Raven_5414				UNRESTRICTED
AIHUIAQ4922K3	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	Katherine_7668								
A2HC9549CZAKNN	participant	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Raven_2615								
A1SGY0IN5YXCUJ	sockpuppet	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	Tanner_4404	Heather_1305	Molly_6243	Holly_4729	Emily_5878				OVERT
A2127GZJV2AID2	participant	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	Claire_563								
A20ASMCESA51U4	sockpuppet	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Jake_5851	Jacob_1882	Holly_1067	Jamal_4474	Jacob_7089				OVERT
A15F2JTVAJXITI	observer							Luke_3376								
A2CBFUOWQI49S5	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	Allison_9618								
ASQ460H8M8OOT	sockpuppet	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Willie_8565	Amy_8803	Raven_4656	Jenna_3354					OVERT
A37LZED187CKU3	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	Claire_3504								
A32V882FOFDN55	participant	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	Hannah_3063								
A1DQNPBSQJFV91	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally bad	Raven_5140								
ARLGZWN6W91WD	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	Molly_7391								
A397D1I20OGUK7	observer							Dustin_3656								
A26L7403RHRQP8	participant	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	Amy_8640								
A2UCTELVD6UP7D	observer							Diamond_2045								
AABCZ5O16C0R2	participant	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Emily_3875								
A2WC8C5H4HJJMC	participant	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Scott_8001								
A3L9K9DZI8LFM4	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Luke_2724								
A1W2ELOK60ZVK3	participant	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	Katherine_1882								
A2NCQAVB0MZFUW	participant	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	Emma_7176								
A2FUF8Z8WCFAR2	observer							Lucas_7250								
A2IUT0610X9CV0	observer							Diamond_9081								
A1DQN6LII13WOW	sockpuppet	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	Jenna_6480	Emily_3713	Cole_484	Emily_7636					UNRESTRICTED
A2LV5432PV1S39	participant	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Bradley_4711								
A337Y4X67PY4QI	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	Scott_8623								
A1BQI9JKLVCIL0	observer							Connor_6137								
A20R9K3NM82YRK	observer							Jack_8848								
A3U2VUZ2L7HIWG	participant	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly approve	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	Raven_5836								
A23EGLIF8IEH11	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Dustin_1369								
A2AJSEYVBTRBB3	participant	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	Emma_2861								
AEOQ0ZHS6ZA04	participant	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Too strong	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Diamond_9849								
A1H7XQCN2TQJM7	observer							Jacob_9608								
A3191G66DZEGEB	participant	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	Cody_5364								
A33ZLN05SVEI66	sockpuppet	Do you think that foods with genetically modified ingredients are generally good or bad for your health?	Generally good	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	Carly_2690	Katie_5068	Cole_6658	Tanner_7190	Holly_3201	Malik_976			OVERT
A8289AEOKHKV4	observer							Claire_1303								
AKK6H2YXK4RF6	participant	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	 even at the risk of curbing economic growth."	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	Allison_2019								
A2PM0SEA0O8MN3	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very likely	Holly_2275								
A1UE6IH3L3XYN2	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Molly_196								
A2VVX5S5MQLW3N	participant	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority	Economic growth should be given priority, even if the environment suffers to some extent.	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	Asia_731								
AVMBUHD8M055F	sockpuppet	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?	Strongly disapprove	Connor_6191	Luke_1653	Cody_1227	Diamond_8596	Carly_7033	Connor_8640			UNRESTRICTED
A1222QAH015PT5	participant	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly oppose	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly disapprove	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Connor_9375								
A3D8ZG1VV5FO35	observer							Katie_1264								
A30FCAB1Z5K84K	participant	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?	Not strong enough	How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?	Strongly approve	Jamal_1671								
ANR0LIX0VLUYJ	sockpuppet	How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?	Strongly favor	How active of a role should the United States play in world affairs?	We should pay less attention to problems overseas and concentrate on problems here at home.	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	Yes	Cody_183	Jamal_9211	Cole_7762	Katherine_5766					COVERT
A1W845RVTAYPYN	observer							Carly_8454								
A5BCSSPC180AG	participant	How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?	No	How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?	Very unlikely	How active of a role should the United States play in world affairs?	It is best for the future of our country to be active in world affairs.	Bradley_7806								
